SentimentText,Sentiment
"Phòng có vết nứt trên tường không an toàn.",0
"Thiết kế phòng ấn tượng phù hợp nghỉ dưỡng.",1
"Phòng bị thấm nước từ trần nhà.",0
"Nội thất sang trọng và đẹp mắt trong phòng.",1
"Phòng hôi mùi ẩm khó chịu.",0
"Trang trí phòng tinh tế tạo cảm giác thư giãn.",1
"Cửa phòng bị kêu cót két và khó mở.",0
"Tầm nhìn từ phòng ra thành phố rất đẹp.",1
"Sàn phòng trơn trượt dễ ngã.",0
"Phòng ấm áp và được sắp xếp gọn gàng.",1
"Phòng quá chật chội không thoải mái.",0
"Phòng được thiết kế mở đón ánh sáng tốt.",1
"Trần phòng có mạng nhện và bụi bẩn.",0
"Phòng sạch sẽ và thơm mát khi bước vào.",1
"Tường phòng bị mốc nhìn mất thẩm mỹ.",0
"Không gian yên tĩnh ngủ ngon trong phòng.",1
"Nệm trong phòng bị lún nằm không thoải mái.",0
"Phòng được sơn sửa mới rất đẹp.",1
"Phòng bị rò rỉ nước từ máy lạnh.",0
"Căn phòng đầy đủ ánh sáng và thoáng khí.",1
"Ghế trong phòng bị rách và cũ.",0
"Phòng rất ấm cúng và sạch sẽ.",1
"Đèn trong phòng không hoạt động tốt.",0
"Phòng nhìn ra vườn rất dễ chịu.",1
"Mùi trong phòng khó chịu như mùi thuốc lá cũ.",0
"Phòng bài trí hợp lý tiện nghi đầy đủ.",1
"Trần nhà bị thấm sơn bong tróc.",0
"Phòng sạch và được trang trí nhẹ nhàng.",1
"Sàn phòng bẩn có tóc và bụi bám.",0
"Giường được bọc nệm mới rất êm ái.",1
"Phòng bí và không có quạt thông gió.",0
"Phòng có cửa kính lớn ngập tràn ánh sáng.",1
"Ga trải giường có vết ố vàng.",0
"Phòng tiện nghi và có tủ lạnh nhỏ rất tiện.",1
"Phòng quá lạnh do điều hòa không điều chỉnh được.",0
"Không gian phòng mang lại cảm giác sang trọng.",1
"Phòng có mùi hóa chất tẩy rửa quá nồng.",0
"Phòng có ban công nhỏ rất dễ thương.",1
"Gạch lát sàn bong tróc và cũ kỹ.",0
"Phòng được thiết kế hài hòa và dễ chịu.",1
"Khăn trải giường trong phòng không sạch.",0
"Phòng có wifi mạnh và bàn làm việc thuận tiện.",1
"Tường trong phòng bị xước nhiều chỗ.",0
"Không gian phòng phù hợp cho gia đình.",1
"Phòng có mùi ẩm lâu ngày.",0
"Phòng gọn gàng và đầy đủ vật dụng cá nhân.",1
"Cửa sổ phòng không đóng kín gió lùa vào.",0
"Phòng sạch sẽ có dịch vụ dọn dẹp hàng ngày.",1
"Phòng có tiếng ồn từ máy lạnh.",0
"Phòng thoáng đãng dễ chịu khi ở lâu.",1
"Thảm trải sàn cũ và không sạch.",0
"Phòng có thiết kế sang trọng và tinh tế.",1
"Phòng không có máy sấy tóc như quảng cáo.",0
"Không gian trong phòng ấm cúng thích hợp nghỉ ngơi.",1
"Phòng có vết mốc ở tường gần nhà tắm.",0
"Căn phòng rất thoải mái và yên tĩnh.",1
"Phòng bị ám mùi khói thuốc lá.",0
"Phòng có đầy đủ tiện nghi cho kỳ nghỉ dài.",1
"Phòng chưa được dọn khi tôi nhận phòng.",0
"Cửa phòng chắc chắn an toàn và cách âm tốt.",1
"Phòng thiếu ánh sáng cảm giác u ám.",0
"Không gian phòng đẹp sạch và dễ chịu.",1
"Phòng có gián bò trong tủ quần áo.",0
"Phòng ấm cúng nội thất gỗ đẹp mắt.",1
"Phòng bị thấm nước và có mùi khó chịu.",0
"Phòng đầy đủ đồ dùng cần thiết cho gia đình.",1
"Giường cứng và không thoải mái.",0
"Phòng có rèm chắn sáng tốt dễ ngủ.",1
"Trần nhà bong tróc và có vết nước.",0
"Không gian phòng tạo cảm giác dễ chịu.",1
"Phòng hơi bẩn và chưa được dọn dẹp kỹ.",0
"Căn phòng rất đẹp sạch sẽ và tạo cảm giác dễ chịu.",1
"Không gian phòng gọn gàng đủ tiện nghi.",1
"Phòng tối và không có đủ ánh sáng tự nhiên.",0
"Nhà vệ sinh trong phòng được lau chùi sạch sẽ.",1
"Căn phòng có tiếng ồn ảnh hưởng đến giấc ngủ.",0
"Phòng nhìn ra biển với khung cảnh tuyệt đẹp.",1
"Diện tích phòng rộng rãi thoải mái khi sử dụng.",1
"Căn phòng có mùi ẩm khó chịu.",0
"Thiết kế phòng hiện đại và trang bị đầy đủ.",1
"Phòng nhỏ và không giống như quảng cáo.",0
"Không gian phòng thoáng mát và dễ chịu.",1
"Tường phòng cách âm kém nghe rõ tiếng từ hành lang.",0
"Phòng được dọn dẹp gọn gàng mỗi ngày.",1
"Nội thất trong phòng đã cũ và xuống cấp.",0
"Giường ngủ trong phòng êm ái và sạch sẽ.",1
"Căn phòng không có cửa sổ nên hơi bí bách.",0
"Phòng có điều hòa hoạt động tốt tạo cảm giác mát mẻ.",1
"Phòng quá đơn giản không như mong đợi.",0
"Không gian phòng được trang trí đẹp mắt tinh tế.",1
"Phòng không sạch còn nhiều bụi ở góc tường.",0
"Ánh sáng trong phòng vừa phải dễ chịu.",1
"Phòng cũ kỹ và cần được cải tạo.",0
"Phòng đầy đủ trang thiết bị tiện nghi.",1
"Giường trong phòng không sạch ga giường cũ.",0
"Không gian phòng tạo cảm giác ấm cúng và thoải mái.",1
"Phòng có vết nứt trên tường không an toàn.",0
"Thiết kế phòng ấn tượng phù hợp nghỉ dưỡng.",1
"Phòng bị thấm nước từ trần nhà.",0
"Nội thất sang trọng và đẹp mắt trong phòng.",1
"Phòng hôi mùi ẩm khó chịu.",0
"Trang trí phòng tinh tế tạo cảm giác thư giãn.",1
"Cửa phòng bị kêu cót két và khó mở.",0
"Tầm nhìn từ phòng ra thành phố rất đẹp.",1
"Sàn phòng trơn trượt dễ ngã.",0
"Phòng ấm áp và được sắp xếp gọn gàng.",1
"Phòng quá chật chội không thoải mái.",0
"Phòng được thiết kế mở đón ánh sáng tốt.",1
"Trần phòng có mạng nhện và bụi bẩn.",0
"Phòng sạch sẽ và thơm mát khi bước vào.",1
"Tường phòng bị mốc nhìn mất thẩm mỹ.",0
"Không gian yên tĩnh ngủ ngon trong phòng.",1
"Nệm trong phòng bị lún nằm không thoải mái.",0
"Phòng được sơn sửa mới rất đẹp.",1
"Phòng bị rò rỉ nước từ máy lạnh.",0
"Căn phòng đầy đủ ánh sáng và thoáng khí.",1
"Ghế trong phòng bị rách và cũ.",0
"Phòng rất ấm cúng và sạch sẽ.",1
"Đèn trong phòng không hoạt động tốt.",0
"Phòng nhìn ra vườn rất dễ chịu.",1
"Mùi trong phòng khó chịu như mùi thuốc lá cũ.",0
"Phòng bài trí hợp lý tiện nghi đầy đủ.",1
"Trần nhà bị thấm sơn bong tróc.",0
"Phòng sạch và được trang trí nhẹ nhàng.",1
"Sàn phòng bẩn có tóc và bụi bám.",0
"Giường được bọc nệm mới rất êm ái.",1
"Phòng bí và không có quạt thông gió.",0
"Phòng có cửa kính lớn ngập tràn ánh sáng.",1
"Ga trải giường có vết ố vàng.",0
"Phòng tiện nghi và có tủ lạnh nhỏ rất tiện.",1
"Phòng quá lạnh do điều hòa không điều chỉnh được.",0
"Không gian phòng mang lại cảm giác sang trọng.",1
"Phòng có mùi hóa chất tẩy rửa quá nồng.",0
"Phòng có ban công nhỏ rất dễ thương.",1
"Gạch lát sàn bong tróc và cũ kỹ.",0
"Phòng được thiết kế hài hòa và dễ chịu.",1
"Khăn trải giường trong phòng không sạch.",0
"Phòng có wifi mạnh và bàn làm việc thuận tiện.",1
"Tường trong phòng bị xước nhiều chỗ.",0
"Không gian phòng phù hợp cho gia đình.",1
"Phòng có mùi ẩm lâu ngày.",0
"Phòng gọn gàng và đầy đủ vật dụng cá nhân.",1
"Cửa sổ phòng không đóng kín gió lùa vào.",0
"Phòng sạch sẽ có dịch vụ dọn dẹp hàng ngày.",1
"Phòng có tiếng ồn từ máy lạnh.",0
"Phòng thoáng đãng dễ chịu khi ở lâu.",1
"Thảm trải sàn cũ và không sạch.",0
"Phòng có thiết kế sang trọng và tinh tế.",1
"Phòng không có máy sấy tóc như quảng cáo.",0
"Không gian trong phòng ấm cúng thích hợp nghỉ ngơi.",1
"Phòng có vết mốc ở tường gần nhà tắm.",0
"Căn phòng rất thoải mái và yên tĩnh.",1
"phòng chưa được dọn khi tôi nhận phòng.",0
"Cửa phòng chắc chắn an toàn và cách âm tốt.",1
"phòng chưa đáp ứng yêu cầu của tôi.",0
"Không gian phòng đẹp sạch và dễ chịu.",1
"Phòng có gián bò trong tủ quần áo.",0
"Phòng ấm cúng nội thất gỗ đẹp mắt.",1





